"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000110777",2371.80557766588,6.12553818393812,0.562325649930631,10.8932220763783,1.24167973719161e-27,1.91616017043409e-23,"POU2AF1",5450
"ENSG00000205056",339.741000187722,7.28254166547466,0.666379224941852,10.9285244690966,8.42064920884015e-28,1.91616017043409e-23,"RP11-693J15.5",100507616
"ENSG00000083454",1269.60895006682,6.42333925724178,0.593054056117777,10.8309507219122,2.45592026465268e-27,2.52665076827468e-23,"P2RX5",5026
"ENSG00000156738",6391.71159809617,8.2547382897935,0.77051905347601,10.7132176064359,8.8240539600226e-27,6.80864003555344e-23,"MS4A1",931
"ENSG00000132704",797.10085009227,8.64577767405383,0.810079949592727,10.6727461633886,1.36530533746899e-26,8.4277567871286e-23,"FCRL2",79368
"ENSG00000160856",939.073221609749,7.13288026077622,0.670557234015172,10.6372430255742,1.99958494877783e-26,1.02858649765132e-22,"FCRL3",115352
"ENSG00000167483",1017.50460633551,7.37794297136861,0.696445291519564,10.5937150573174,3.18687418271911e-26,1.4051383539349e-22,"FAM129C",199786
"ENSG00000211890",9674.73365512224,7.24320443754735,0.692057520097244,10.4661884701861,1.23516682930392e-25,4.23579877995958e-22,"IGHA2",NA
"ENSG00000260655",406.373898392018,7.79895729893249,0.744689645225641,10.4727618396915,1.15231092080472e-25,4.23579877995958e-22,NA,NA
"ENSG00000128438",511.880781007531,9.18444202828078,0.885770852308167,10.3688691091468,3.43566502803638e-25,1.06038365425315e-21,"TBC1D27",NA
"ENSG00000143297",1938.07908585284,7.19571638494145,0.699504699488496,10.2868735409544,8.07559981372456e-25,2.26586647864359e-21,"FCRL5",83416
"ENSG00000177455",1363.13165146012,8.36000353646499,0.816769482941119,10.235450406841,1.37553623238382e-24,3.53787918969119e-21,"CD19",930
"ENSG00000136573",1323.50814422696,6.5347457106864,0.649397421769431,10.0627835769366,8.06841859488202e-24,1.91556670394184e-20,"BLK",640
"ENSG00000163534",1095.99889875323,7.92130374279279,0.812927672208157,9.74416791751735,1.95372820254684e-22,4.30713337452898e-19,"FCRL1",115350
"ENSG00000271856",215.133748338204,7.32761884137911,0.753017724574326,9.73100446675588,2.2238599109805e-22,4.57581415283348e-19,"LINC01215",101929623
"ENSG00000173200",2081.25821672224,4.90698642668496,0.507205408466472,9.67455461786412,3.86772021663924e-22,7.46083229789709e-19,"PARP15",165631
"ENSG00000105369",2475.47455201056,7.51440830583183,0.779927625776554,9.6347507864591,5.70302149077882e-22,1.03540032524352e-18,"CD79A",973
"ENSG00000163568",289.027555205537,5.71257549482403,0.594088650184788,9.61569538998458,6.86439357682222e-22,1.17701468530578e-18,"AIM2",9447
"ENSG00000186265",234.456182040664,5.40906452596079,0.566980461509511,9.54012508924888,1.42660134694059e-21,2.20153119859872e-18,"BTLA",151888
"ENSG00000211677",1423.0473165165,5.99124861222951,0.627810967917718,9.54307732485286,1.3865559306548e-21,2.20153119859872e-18,"IGLC2",NA
"ENSG00000170476",1696.39661043642,6.60759087515572,0.693585852771217,9.52670941708967,1.62347671928267e-21,2.3860469268543e-18,"MZB1",51237
"ENSG00000241106",675.244753962572,5.19706532759652,0.546802395893494,9.50446700055939,2.0107506922488e-21,2.8209004257076e-18,"HLA-DOB",3112
"ENSG00000268027",235.282800511207,4.73399287360591,0.499486149039491,9.47772602445403,2.59884588794624e-21,3.4874251950249e-18,"AC006129.2",NA
"ENSG00000162894",1763.33711465872,4.629164956506,0.492124796296768,9.40648589817137,5.13001596893681e-21,6.59720053605274e-18,"FCMR",9214
"ENSG00000156234",820.91682696051,9.34285788347684,0.994966052752475,9.39012728889669,5.99277896760293e-21,7.39844520224387e-18,"CXCL13",10563
"ENSG00000035720",209.229148394456,6.88956277576178,0.734207385947236,9.38367402402691,6.37130353261378e-21,7.5632273934843e-18,"STAP1",26228
"ENSG00000028277",1277.77045492831,4.36813532617065,0.467706869991921,9.33947223449189,9.68154914876213e-21,1.10670864047183e-17,"POU2F2",5452
"ENSG00000269404",466.286460185299,7.39055225166635,0.796362502581221,9.2803870444824,1.6886402775445e-20,1.86136405450477e-17,"SPIB",6689
"ENSG00000089012",287.735311973963,5.34026501628146,0.576945578236227,9.25609835265072,2.12038997799003e-20,2.25667987174774e-17,"SIRPG",55423
"ENSG00000104814",1362.73086296666,4.25236800098848,0.461483475097183,9.2145618000579,3.12552294030456e-20,3.21553800098533e-17,"MAP4K1",11184
"ENSG00000121895",223.258902654917,5.39869943389202,0.588178502589992,9.17867519829324,4.36427422246813e-20,4.20934248757051e-17,"TMEM156",80008
"ENSG00000196092",562.727496963298,8.32034970716201,0.906439865542041,9.17915244403614,4.34497705942266e-20,4.20934248757051e-17,"PAX5",5079
"ENSG00000240505",221.930057821755,7.9029003313968,0.862137051823412,9.16664040210572,4.87990386077493e-20,4.56404099269568e-17,"TNFRSF13B",23495
"ENSG00000009790",1612.83631500393,4.43527721038694,0.48546137767362,9.136210241155,6.46792279490629e-20,5.87135203358787e-17,"TRAF3IP3",80342
"ENSG00000167077",495.709881369256,3.76852042008637,0.414592944620092,9.08968777444973,9.93238707337757e-20,8.75866270379216e-17,"MEI1",150365
"ENSG00000079263",688.71900343764,4.69040336015924,0.51700452971299,9.07226743789474,1.16565578465617e-19,9.99355559378556e-17,"SP140",11262
"ENSG00000211644",3000.6046291865,6.84835352356724,0.755753806969847,9.06161961793527,1.28527718040437e-19,1.07212959178379e-16,"IGLV1-51",NA
